"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob"
69,7,7,"F",1,0,4.33,1440,"Math & Science","1",0,NA,"1",0.896933560477002
70,6,6,"F",1,0,4.08,1200,"Business & Economics","1",0,NA,"1",0.717948717948718
71,7,7,"F",1,0,3.56,1280,"Arts & Letters","1",1,2.564,"1",0.855172413793103
72,6,6,"M",1,0,4.33,1410,"Math & Science","1",0,NA,"1",0.896933560477002
73,7,6,"M",1,0,4.15,1390,"Math & Science","1",1,3.825,"1",0.896933560477002
74,6,6,"M",1,0,3.65,1280,"Math & Science","0",0,NA,"0",0.26978417266187
75,7,7,"F",1,0,3.86,1350,"Arts & Letters","1",0,NA,"1",0.896933560477002
76,6,7,"M",0,0,3.67,1170,"Business & Economics","1",0,NA,"0",0.05676072418855
77,7,7,"M",0,1,3.15,1370,"Arts & Letters","0",0,NA,"0",0.156017830609212
78,4,4,"M",0,0,4,1330,"Business & Economics","1",1,3.525,"1",0.73936170212766
79,6,6,"M",1,0,3.2,1400,"Arts & Letters","0",0,NA,"0",0.156017830609212
80,7,6,"F",1,0,4.09,1150,"Math & Science","1",1,3.595,"1",0.854901960784314
81,6,6,"M",1,0,4.18,1480,"Business & Economics","0",0,NA,"1",0.896933560477002
82,6,6,"F",1,0,3.83,1250,"Arts & Letters","1",0,NA,"0",0.245187436676798
83,6,6,"F",1,0,4.05,1300,"Arts & Letters","1",0,NA,"1",0.73936170212766
84,7,6,"F",1,0,3.67,1170,"Arts & Letters","0",0,NA,"0",0.05676072418855
85,7,6,"M",0,0,3.24,1000,"Math & Science","0",0,NA,"0",0.05676072418855
86,7,7,"F",0,0,3.36,1130,"Arts & Letters","1",1,3.058,"1",0.855172413793103
87,7,6,"M",0,0,0,1540,"Math & Science","0",0,NA,"0",0.156017830609212
88,7,6,"M",1,0,3.77,1310,"Business & Economics","1",0,NA,"1",0.631578947368421
89,4,6,"F",1,0,4.07,1270,"Math & Science","0",0,NA,"1",0.73936170212766
90,7,7,"M",1,0,4,1190,"Business & Economics","1",0,NA,"0",0.245187436676798
91,6,6,"M",0,0,4.14,1310,"Math & Science","1",0,NA,"1",0.73936170212766
92,7,7,"M",0,1,3.38,1330,"Math & Science","0",0,NA,"0",0.156017830609212
93,1,1,"M",0,0,3.58,1300,"Math & Science","1",0,NA,"1",0.916666666666667
94,7,7,"M",1,0,3.5,1230,"Math & Science","0",0,NA,"0",0.05676072418855
95,7,6,"M",0,0,3.75,1240,"Business & Economics","1",1,3.344,"1",0.855172413793103
96,6,5,"M",1,0,2.95,1260,"Business & Economics","0",0,NA,"0",0.05676072418855
97,7,6,"F",1,0,3.95,1250,"Business & Economics","1",0,NA,"0",0.245187436676798
98,6,6,"F",1,0,3.71,1190,"Math & Science","0",0,NA,"0",0.05676072418855
99,5,7,"M",1,0,3.82,1240,"Math & Science","0",0,NA,"0",0.245187436676798
100,6,6,"F",0,0,4.23,1340,"Math & Science","1",0,NA,"1",0.73936170212766
101,6,6,"F",1,0,4.33,1450,"Arts & Letters","1",0,NA,"1",0.896933560477002
102,7,7,"M",0,0,3.62,1240,"Math & Science","0",0,NA,"0",0.05676072418855
103,6,7,"F",1,0,3.82,1270,"Math & Science","1",1,3.106,"1",0.903225806451613
104,6,7,"F",1,0,4.04,1270,"Arts & Letters","1",0,NA,"1",0.73936170212766
105,6,6,"M",0,1,2.6,1410,"Arts & Letters","0",0,NA,"0",0.156017830609212
106,6,6,"M",0,1,3.75,1340,"Math & Science","1",0,NA,"0",0.336
107,4,5,"F",0,1,3.86,1230,"Arts & Letters","0",0,NA,"0",0.245187436676798
108,6,6,"F",1,0,3.38,970,"Arts & Letters","0",0,NA,"0",0.05676072418855
109,3,3,"F",0,0,3.6,1040,"Arts & Letters","0",0,NA,"0",0.05676072418855
110,6,6,"M",1,0,4.25,1270,"Business & Economics","1",0,NA,"1",0.73936170212766
111,5,5,"M",1,0,2.89,1490,"Arts & Letters","0",0,NA,"0",0.156017830609212
112,6,6,"M",1,0,4.32,1500,"Math & Science","1",1,3.426,"1",0.896933560477002
113,7,7,"M",1,0,4,1130,"Arts & Letters","0",0,NA,"0",0.245187436676798
114,6,6,"M",0,1,4.33,1380,"Math & Science","1",0,NA,"1",0.896933560477002
115,7,7,"F",0,0,4.2,1230,"Arts & Letters","0",1,3.116,"1",0.854901960784314
116,7,7,"M",1,0,3.46,1230,"Arts & Letters","0",0,NA,"0",0.05676072418855
117,7,6,"F",1,0,3.92,1320,"Math & Science","1",1,3.396,"1",0.73936170212766
118,7,7,"M",0,0,2.95,1430,"Math & Science","0",0,NA,"0",0.156017830609212
119,6,6,"F",1,0,3.83,1240,"Arts & Letters","1",1,3.926,"1",0.854901960784314
120,5,4,"M",0,0,0,880,"Business & Economics","0",0,NA,"0",0.05676072418855
121,7,7,"M",1,0,4,1410,"Business & Economics","1",0,NA,"1",0.896933560477002
122,1,2,"F",0,0,3.29,880,"Arts & Letters","0",0,NA,"0",0.05676072418855
123,6,6,"F",1,0,3.95,1140,"Math & Science","0",0,NA,"0",0.245187436676798
124,6,5,"M",0,1,2.78,1200,"Math & Science","0",0,NA,"0",0.05676072418855
125,7,7,"M",1,0,3.95,1300,"Arts & Letters","0",1,3.277,"1",0.73936170212766
126,6,1,"F",0,0,3.05,920,"Arts & Letters","0",0,NA,"0",0.05676072418855
127,6,6,"M",0,1,3.68,1430,"Math & Science","0",0,NA,"0",0.384615384615385
128,6,5,"F",0,0,4.17,1460,"Math & Science","1",0,NA,"1",0.896933560477002
129,7,6,"M",1,0,3.14,1150,"Business & Economics","0",0,NA,"0",0.05676072418855
130,1,1,"F",0,0,3.86,850,"Arts & Letters","0",0,NA,"0",0.320754716981132
131,7,4,"F",0,0,3.89,1250,"Math & Science","1",1,3.357,"1",0.854901960784314
132,6,6,"M",1,0,3.6,1130,"Math & Science","0",0,NA,"0",0.05676072418855
133,7,6,"M",1,0,3.45,1410,"Math & Science","0",0,NA,"0",0.156017830609212
134,6,5,"M",1,0,3.26,1100,"Business & Economics","0",0,NA,"0",0.05676072418855
135,6,6,"M",1,0,3.5,1270,"Math & Science","0",0,NA,"0",0.156017830609212
136,6,7,"F",0,0,3.87,1170,"Arts & Letters","1",1,2.733,"1",0.854901960784314
137,1,1,"M",0,0,4.2,980,"Business & Economics","1",0,NA,"1",0.793939393939394
138,5,5,"M",1,0,4.17,1250,"Math & Science","0",0,NA,"0",0
139,7,7,"F",1,0,3.7,1220,"Arts & Letters","0",0,NA,"0",0.05676072418855
140,6,6,"M",0,0,2.73,1060,"Business & Economics","0",0,NA,"0",0.05676072418855
141,7,6,"M",1,0,3.82,1440,"Math & Science","1",1,1.847,"1",0.896933560477002
142,7,7,"M",1,0,3.25,1160,"Arts & Letters","0",0,NA,"0",0.05676072418855
143,7,4,"F",0,0,3.88,1180,"Business & Economics","0",0,NA,"0",0.245187436676798
144,7,7,"M",1,0,3.92,1200,"Arts & Letters","1",0,NA,"0",0.245187436676798
145,6,6,"M",1,0,3.03,1190,"Arts & Letters","0",0,NA,"0",0.05676072418855
146,4,4,"F",0,0,2.79,940,"Arts & Letters","0",0,NA,"0",0.05676072418855
147,2,3,"M",0,0,3.73,1190,"Math & Science","1",0,NA,"0",0.05676072418855
148,7,7,"M",1,0,3.96,1120,"Math & Science","1",1,3.471,"1",0.854901960784314
149,7,7,"F",1,0,4.21,1360,"Math & Science","1",1,3.123,"1",0.896933560477002
150,6,6,"F",0,0,3.36,1240,"Arts & Letters","0",0,NA,"0",0.05676072418855
151,7,7,"M",1,0,0,1120,"Arts & Letters","0",0,NA,"0",0.05676072418855
152,3,4,"M",1,0,3.5,1030,"Business & Economics","0",0,NA,"0",0.05676072418855
153,7,6,"F",1,0,3.8,1270,"Arts & Letters","0",0,NA,"0",0.378048780487805
154,7,7,"M",1,0,3.06,1230,"Math & Science","0",0,NA,"0",0.05676072418855
155,6,4,"M",1,0,2.65,1160,"Business & Economics","0",0,NA,"0",0.05676072418855
156,7,6,"F",0,0,2.92,1250,"Math & Science","0",0,NA,"0",0.05676072418855
