"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob"
5151,7,7,"M",1,0,3.8,1300,"Business & Economics","0",0,NA,"0",0.378048780487805
5152,6,7,"F",1,0,4.15,1070,"Arts & Letters","1",0,NA,"0",0.308370044052863
5153,6,7,"M",1,0,3.3,1110,"Math & Science","0",0,NA,"0",0.05676072418855
5154,7,7,"F",1,0,3.4,1090,"Arts & Letters","0",0,NA,"0",0.05676072418855
5155,6,7,"F",1,0,3.29,1060,"Math & Science","0",1,2.453,"1",0.855172413793103
5156,6,6,"M",0,1,3.68,1240,"Arts & Letters","1",1,3.248,"1",0.855172413793103
5157,6,4,"F",0,1,4.25,1330,"Math & Science","0",0,NA,"1",0.73936170212766
5158,7,6,"F",1,0,3.73,1290,"Math & Science","0",0,NA,"0",0.336
5159,7,7,"F",1,0,4.17,1230,"Math & Science","1",1,3.993,"1",0.854901960784314
5160,7,6,"F",1,0,3.57,1090,"Business & Economics","0",0,NA,"0",0.05676072418855
5161,7,6,"F",0,1,3.68,1390,"Business & Economics","1",1,2.821,"1",0.855172413793103
5162,7,7,"M",0,0,3.75,1320,"Business & Economics","0",0,NA,"1",0.631578947368421
5163,3,3,"F",0,0,4.18,1180,"Arts & Letters","0",0,NA,"0",0.320754716981132
5164,7,7,"M",0,0,3.25,1100,"Arts & Letters","0",0,NA,"0",0.05676072418855
5165,6,6,"F",1,0,3.81,1290,"Math & Science","1",0,NA,"0",0.378048780487805
5166,7,7,"F",0,1,4.09,1210,"Arts & Letters","1",0,NA,"1",0.590909090909091
5167,7,6,"F",1,0,3.64,1130,"Math & Science","0",0,NA,"0",0.05676072418855
5168,4,3,"F",0,0,4.32,1340,"Math & Science","1",0,NA,"1",0.73936170212766
5169,6,6,"M",0,0,3.96,1520,"Arts & Letters","0",0,NA,"1",0.896933560477002
5170,4,4,"F",0,0,4,1210,"Arts & Letters","0",0,NA,"0",0.245187436676798
5171,6,7,"M",1,0,3.68,1230,"Business & Economics","0",0,NA,"0",0.05676072418855
5172,4,4,"F",0,0,3.86,1090,"Math & Science","0",0,NA,"0",0.245187436676798
5173,7,7,"F",0,1,4,1400,"Business & Economics","1",1,3.097,"1",0.896933560477002
5174,7,7,"M",1,0,3.5,1430,"Math & Science","1",1,3.309,"1",0.855172413793103
5175,4,7,"F",1,0,4.1,1130,"Business & Economics","0",0,NA,"0",0.308370044052863
5176,7,7,"M",1,0,3.45,1140,"Arts & Letters","0",0,NA,"0",0.05676072418855
5177,6,6,"M",1,0,2.73,980,"Arts & Letters","0",0,NA,"0",0.05676072418855
5178,6,4,"F",1,0,3.96,1150,"Business & Economics","1",0,NA,"0",0.245187436676798
5179,6,5,"F",1,0,3.68,1110,"Arts & Letters","0",1,3.204,"1",0.855172413793103
5180,6,4,"M",1,0,3.53,1240,"Business & Economics","0",0,NA,"0",0.05676072418855
5181,3,6,"F",0,0,3.48,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5182,7,6,"M",0,1,2.96,1270,"Business & Economics","0",0,NA,"0",0.156017830609212
5183,7,4,"F",1,0,4.05,1180,"Math & Science","0",1,3.53,"1",0.854901960784314
5184,4,6,"M",0,0,3.45,1170,"Math & Science","0",1,2.466,"1",0.855172413793103
5185,3,6,"M",1,0,3.58,1330,"Math & Science","0",0,NA,"0",0.26978417266187
5186,5,5,"F",0,1,3.92,1060,"Arts & Letters","1",0,NA,"0",0.245187436676798
5187,7,6,"M",1,0,3.76,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5188,6,6,"M",1,0,3.17,1050,"Business & Economics","0",0,NA,"0",0.05676072418855
5189,6,6,"M",1,0,3.78,1430,"Business & Economics","1",0,NA,"1",0.880952380952381
5190,6,4,"F",1,0,3.96,1280,"Arts & Letters","1",1,3.674,"1",0.73936170212766
5191,4,6,"M",1,0,3.05,1020,"Math & Science","0",0,NA,"0",0.05676072418855
5192,6,7,"F",1,0,3.73,1390,"Arts & Letters","0",0,NA,"0",0.336
5193,3,7,"F",1,0,3.05,980,"Math & Science","0",0,NA,"0",0.05676072418855
5194,4,4,"F",0,0,3.19,1040,"Arts & Letters","0",0,NA,"0",0.05676072418855
5195,6,6,"M",0,0,4.19,1540,"Math & Science","1",0,NA,"1",0.896933560477002
5196,6,6,"F",0,1,3.79,1320,"Business & Economics","1",1,2.517,"1",0.903225806451613
5197,6,6,"F",1,0,4.08,1460,"Math & Science","1",0,NA,"1",0.896933560477002
5198,7,6,"F",1,0,3.65,1360,"Arts & Letters","1",0,NA,"0",0.26978417266187
5199,4,4,"F",1,0,3.88,1240,"Math & Science","1",0,NA,"0",0.245187436676798
5200,7,7,"F",0,1,3.39,1070,"Math & Science","0",0,NA,"0",0.05676072418855
5201,6,6,"M",1,0,2.95,1110,"Business & Economics","0",0,NA,"0",0.05676072418855
5202,6,6,"F",1,0,3.15,1100,"Arts & Letters","0",0,NA,"0",0.05676072418855
5203,6,6,"M",1,0,4.14,1420,"Arts & Letters","1",0,NA,"1",0.896933560477002
5204,3,3,"F",0,0,4.3,1260,"Math & Science","0",0,NA,"1",0.73936170212766
5205,7,6,"F",0,0,3.92,1370,"Business & Economics","0",0,NA,"1",0.896933560477002
5206,6,6,"M",0,0,4.01,1380,"Business & Economics","1",0,NA,"1",0.896933560477002
5207,7,5,"M",1,0,3.92,1370,"Arts & Letters","0",0,NA,"1",0.896933560477002
5208,4,4,"M",1,0,3.09,1200,"Arts & Letters","0",0,NA,"0",0.05676072418855
5209,3,4,"F",1,0,3.62,1300,"Arts & Letters","0",0,NA,"0",0.26978417266187
5210,3,7,"F",1,0,3.91,1230,"Math & Science","1",1,3.028,"1",0.854901960784314
5211,7,7,"M",1,0,3.41,1330,"Business & Economics","0",0,NA,"0",0.156017830609212
5212,4,4,"M",1,0,2.78,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5213,4,5,"F",1,0,2.61,1170,"Arts & Letters","0",0,NA,"0",0.05676072418855
5214,6,3,"F",1,0,3.65,1230,"Math & Science","0",0,NA,"0",0.05676072418855
5215,6,7,"M",1,0,3.24,1140,"Arts & Letters","0",0,NA,"0",0.05676072418855
5216,7,6,"F",1,0,3.71,1270,"Business & Economics","1",0,NA,"1",0.631578947368421
5217,6,7,"F",1,0,4.32,1570,"Math & Science","1",1,3.243,"1",0.896933560477002
5218,4,4,"F",1,0,4.19,1050,"Business & Economics","1",0,NA,"0",0.308370044052863
5219,6,4,"F",1,0,3.45,1190,"Arts & Letters","1",0,NA,"0",0.05676072418855
5220,7,4,"F",0,0,4.23,1420,"Arts & Letters","0",1,3.812,"1",0.896933560477002
5221,6,6,"M",1,0,3.46,790,"Business & Economics","0",0,NA,"0",0.05676072418855
5222,6,6,"M",1,0,3.83,1490,"Business & Economics","1",1,2.91,"1",0.896933560477002
5223,6,7,"F",0,1,4.09,1350,"Math & Science","1",0,NA,"1",0.896933560477002
5224,7,4,"F",1,0,3.4,1270,"Arts & Letters","1",0,NA,"0",0.156017830609212
5225,7,4,"F",0,0,3.5,1300,"Math & Science","0",0,NA,"0",0.156017830609212
5226,7,4,"F",1,0,4.04,1300,"Arts & Letters","1",0,NA,"1",0.73936170212766
5227,7,7,"F",0,1,3.71,1410,"Arts & Letters","1",0,NA,"0",0.384615384615385
5228,7,7,"F",1,0,4.08,1270,"Math & Science","1",0,NA,"1",0.73936170212766
5229,6,6,"F",1,0,4.26,1490,"Math & Science","1",0,NA,"1",0.896933560477002
5230,7,7,"F",1,0,3.68,1190,"Arts & Letters","1",1,3.764,"1",0.855172413793103
5231,4,4,"F",1,0,4,1400,"Arts & Letters","1",0,NA,"1",0.896933560477002
5232,7,7,"M",1,0,3.48,1380,"Business & Economics","1",1,3.251,"1",0.855172413793103
5233,6,7,"M",1,0,4.05,1460,"Math & Science","1",0,NA,"1",0.896933560477002
5234,6,6,"F",1,0,3.33,1210,"Business & Economics","0",0,NA,"0",0.05676072418855
5235,7,4,"F",1,0,4.18,1270,"Arts & Letters","0",0,NA,"1",0.73936170212766
5236,3,3,"M",0,0,3.14,1140,"Math & Science","0",0,NA,"0",0.05676072418855
5237,7,6,"F",1,0,4.27,1320,"Arts & Letters","1",0,NA,"1",0.73936170212766
5238,7,7,"M",1,0,4.17,1430,"Business & Economics","1",0,NA,"1",0.896933560477002
5239,7,7,"F",1,0,3.9,1210,"Arts & Letters","1",0,NA,"0",0.245187436676798
5240,6,6,"F",1,0,3.25,1190,"Arts & Letters","0",1,2.74,"1",0.855172413793103
5241,7,6,"F",0,0,4,1430,"Math & Science","1",0,NA,"1",0.896933560477002
5242,7,7,"M",1,0,4.09,1520,"Business & Economics","1",0,NA,"1",0.896933560477002
5243,7,7,"F",1,0,4.08,1470,"Math & Science","1",0,NA,"1",0.896933560477002
5244,7,4,"F",1,0,4.1,1170,"Math & Science","0",0,NA,"1",0.590909090909091
5245,6,6,"F",1,0,3.96,1480,"Arts & Letters","1",0,NA,"1",0.896933560477002
5246,6,6,"F",1,0,3.76,1270,"Business & Economics","1",1,3.11,"1",0.855172413793103
5247,6,6,"F",0,0,3.58,1180,"Arts & Letters","1",1,3.466,"1",0.855172413793103
5248,6,7,"F",1,0,3.75,990,"Arts & Letters","0",0,NA,"0",0.05676072418855
5249,6,6,"F",0,0,3.8,1380,"Arts & Letters","0",0,NA,"1",0.896933560477002
5250,7,4,"F",1,0,3.57,1440,"Arts & Letters","1",1,2.43,"1",0.855172413793103
5251,4,6,"M",1,0,4.09,1170,"Math & Science","0",0,NA,"0",0.320754716981132
5252,6,6,"F",0,1,3.73,1150,"Math & Science","0",0,NA,"0",0.05676072418855
5253,7,6,"F",1,0,3.46,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5254,3,6,"F",1,0,4.04,1380,"Math & Science","1",0,NA,"1",0.896933560477002
5255,6,7,"F",1,0,3.77,1220,"Arts & Letters","0",0,NA,"0",0.05676072418855
5256,6,4,"M",1,0,4,1490,"Arts & Letters","1",0,NA,"1",0.896933560477002
5257,7,6,"F",0,1,4.17,1420,"Arts & Letters","1",0,NA,"1",0.896933560477002
5258,6,6,"M",1,0,3.55,1250,"Business & Economics","0",0,NA,"0",0.05676072418855
5259,6,5,"M",1,0,3.58,1270,"Arts & Letters","0",0,NA,"0",0.26978417266187
5260,7,6,"F",1,0,4,1270,"Business & Economics","1",1,3.444,"1",0.73936170212766
5261,6,7,"F",1,0,3.91,1170,"Arts & Letters","1",0,NA,"0",0.245187436676798
5262,7,6,"F",1,0,3.18,1170,"Arts & Letters","1",0,NA,"0",0.05676072418855
5263,7,6,"M",1,0,3.35,1270,"Arts & Letters","0",0,NA,"0",0.156017830609212
5264,6,4,"F",0,1,3.14,1250,"Arts & Letters","1",1,2.584,"1",0.84
5265,4,6,"M",0,1,3.87,1450,"Business & Economics","1",0,NA,"1",0.896933560477002
5266,3,3,"M",0,0,3.48,1010,"Math & Science","0",0,NA,"0",0.05676072418855
5267,7,7,"M",1,0,2.2,1100,"Arts & Letters","0",0,NA,"0",0.05676072418855
5268,6,7,"F",1,0,3.88,1410,"Arts & Letters","0",0,NA,"1",0.896933560477002
5269,7,7,"F",1,0,4.4,1490,"Math & Science","1",0,NA,"1",0.896933560477002
5270,6,7,"F",1,0,4.1,1550,"Business & Economics","1",0,NA,"1",0.896933560477002
5271,6,6,"F",0,0,4.33,1380,"Arts & Letters","1",0,NA,"1",0.896933560477002
5272,6,4,"M",1,0,3.36,1230,"Business & Economics","0",0,NA,"0",0.05676072418855
5273,6,6,"F",1,0,4.25,1330,"Arts & Letters","1",0,NA,"1",0.73936170212766
5274,6,6,"F",1,0,4.05,1010,"Math & Science","0",1,3.658,"1",0.854901960784314
5275,6,6,"M",1,0,4,1240,"Arts & Letters","1",1,3.949,"1",0.854901960784314
5276,5,6,"F",1,0,3.15,1050,"Math & Science","0",0,NA,"0",0.05676072418855
5277,7,6,"F",1,0,3.77,1310,"Business & Economics","1",1,3.305,"1",0.855172413793103
5278,6,6,"M",1,0,4,1400,"Math & Science","1",0,NA,"1",0.896933560477002
5279,6,4,"F",1,0,3.92,1300,"Arts & Letters","0",0,NA,"1",0.73936170212766
5280,6,7,"F",1,0,4.27,1280,"Arts & Letters","1",0,NA,"1",0.73936170212766
5281,6,7,"F",1,0,3.95,1250,"Business & Economics","1",1,3.446,"1",0.854901960784314
5282,6,6,"M",0,1,3.5,1360,"Business & Economics","1",1,3.229,"1",0.855172413793103
5283,6,3,"M",1,0,4.08,1440,"Business & Economics","1",0,NA,"1",0.896933560477002
5284,4,6,"F",1,0,4.08,1420,"Business & Economics","1",1,3.522,"1",0.896933560477002
5285,7,7,"F",1,0,4.25,1560,"Math & Science","1",0,NA,"1",0.896933560477002
5286,7,4,"F",0,0,4,1190,"Arts & Letters","1",0,NA,"0",0.245187436676798
5287,6,6,"M",1,0,4.09,1490,"Business & Economics","1",1,3.943,"1",0.896933560477002
5288,5,4,"F",1,0,4.11,1220,"Arts & Letters","0",0,NA,"0",0.320754716981132
5289,7,7,"F",1,0,4.2,1550,"Math & Science","1",0,NA,"1",0.896933560477002
5290,6,7,"M",1,0,3.71,1060,"Business & Economics","1",0,NA,"0",0.05676072418855
5291,7,6,"M",0,0,4.32,1150,"Math & Science","1",1,3.075,"1",0.854901960784314
5292,7,6,"M",1,0,3.23,1160,"Math & Science","0",0,NA,"0",0.05676072418855
5293,5,6,"F",0,1,4.04,1210,"Arts & Letters","1",1,3.52,"1",0.854901960784314
5294,6,6,"F",1,0,4.36,1440,"Arts & Letters","1",0,NA,"1",0.896933560477002
5295,7,6,"F",1,0,3.81,1360,"Math & Science","1",0,NA,"1",0.896933560477002
5296,7,7,"M",1,0,4.18,1530,"Math & Science","1",1,2.731,"1",0.896933560477002
5297,7,5,"F",1,0,3.46,1170,"Business & Economics","0",0,NA,"0",0.05676072418855
5298,3,3,"M",0,0,4.27,1370,"Business & Economics","1",1,3.788,"1",0.896933560477002
5299,7,7,"F",1,0,3.88,1250,"Business & Economics","0",0,NA,"0",0.245187436676798
5300,6,6,"F",1,0,3.59,1240,"Business & Economics","0",0,NA,"0",0.05676072418855
5301,6,6,"F",1,0,3.73,1430,"Arts & Letters","1",0,NA,"0",0.384615384615385
5302,6,6,"F",1,0,4.08,1400,"Math & Science","1",0,NA,"1",0.896933560477002
5303,4,6,"M",1,0,4.1,1230,"Math & Science","0",0,NA,"0",0.320754716981132
5304,6,4,"M",1,0,3.19,1370,"Math & Science","1",0,NA,"0",0.156017830609212
5305,6,6,"F",1,0,3.68,1420,"Arts & Letters","1",0,NA,"0",0.384615384615385
5306,7,6,"M",1,0,3.75,1460,"Business & Economics","1",0,NA,"1",0.880952380952381
5307,6,6,"F",1,0,3.66,1170,"Arts & Letters","0",0,NA,"0",0.05676072418855
5308,7,4,"F",1,0,3.68,1090,"Arts & Letters","0",0,NA,"0",0.05676072418855
5309,6,4,"M",1,0,3.16,770,"Math & Science","0",0,NA,"0",0.05676072418855
5310,4,6,"F",0,0,3.7,1230,"Arts & Letters","0",0,NA,"0",0.05676072418855
5311,6,6,"F",0,1,3.11,1170,"Business & Economics","0",0,NA,"0",0.05676072418855
5312,7,7,"F",1,0,3.76,970,"Arts & Letters","0",0,NA,"0",0.05676072418855
5313,7,7,"M",1,0,3.77,1190,"Math & Science","1",0,NA,"0",0.05676072418855
5314,6,7,"F",1,0,3.86,1000,"Math & Science","0",0,NA,"0",0.245187436676798
5315,4,6,"F",0,0,3.73,1290,"Business & Economics","1",1,2.395,"1",0.855172413793103
5316,6,5,"M",1,0,3.95,1400,"Business & Economics","0",0,NA,"1",0.896933560477002
5317,4,6,"M",1,0,4.25,1350,"Business & Economics","1",0,NA,"1",0.896933560477002
5318,3,5,"M",0,0,3.75,1230,"Business & Economics","0",0,NA,"0",0.05676072418855
5319,6,6,"M",1,0,3.18,1320,"Math & Science","0",0,NA,"0",0.156017830609212
5320,6,6,"M",0,1,2.75,1000,"Business & Economics","0",0,NA,"0",0.05676072418855
5321,7,6,"F",1,0,3.27,1150,"Math & Science","0",0,NA,"0",0.05676072418855
5322,1,1,"M",0,0,3.11,950,"Math & Science","0",0,NA,"0",0.05676072418855
5323,7,6,"F",1,0,4.05,1400,"Arts & Letters","1",1,3.777,"1",0.896933560477002
5324,6,6,"M",1,0,3.25,1260,"Arts & Letters","0",0,NA,"0",0.05676072418855
5325,1,1,"F",0,1,3.5,870,"Business & Economics","0",0,NA,"0",0.05676072418855
5326,6,7,"F",1,0,3.25,990,"Arts & Letters","0",0,NA,"0",0.05676072418855
5327,6,6,"M",0,0,3.18,1260,"Arts & Letters","0",0,NA,"0",0.05676072418855
5328,6,6,"F",1,0,4.15,1220,"Math & Science","0",0,NA,"0",0.320754716981132
5329,6,7,"M",1,0,3.17,1110,"Math & Science","1",1,2.618,"1",0.84
5330,6,6,"M",0,0,4.2,1390,"Business & Economics","1",0,NA,"1",0.896933560477002
5331,7,6,"M",0,0,3.86,1460,"Math & Science","1",0,NA,"1",0.896933560477002
5332,6,7,"M",1,0,3.84,1170,"Business & Economics","0",0,NA,"0",0.245187436676798
5333,6,7,"F",1,0,4.12,1310,"Arts & Letters","0",0,NA,"1",0.73936170212766
5334,7,6,"M",1,0,3.92,1190,"Business & Economics","1",1,3.589,"1",0.854901960784314
5335,7,7,"M",1,0,3.23,1080,"Business & Economics","1",1,2.641,"0",0.24
5336,7,7,"F",0,1,3.7,1370,"Math & Science","1",0,NA,"0",0.336
5337,6,4,"M",1,0,3.05,1030,"Math & Science","0",0,NA,"0",0.05676072418855
5338,7,3,"M",0,1,4.18,1150,"Math & Science","1",1,3.056,"1",0.854901960784314
5339,3,6,"F",0,0,3.41,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5340,7,6,"F",1,0,4.13,1410,"Arts & Letters","1",0,NA,"1",0.896933560477002
5341,7,6,"M",0,0,3.38,1350,"Business & Economics","1",0,NA,"0",0.156017830609212
5342,6,5,"M",0,1,3.27,1100,"Arts & Letters","0",0,NA,"0",0.05676072418855
5343,6,6,"M",1,0,2.83,1230,"Business & Economics","0",0,NA,"0",0.05676072418855
5344,4,4,"M",0,0,3.45,860,"Math & Science","0",0,NA,"0",0.05676072418855
5345,3,4,"M",1,0,3.33,1250,"Math & Science","0",0,NA,"0",0.05676072418855
5346,5,7,"F",0,0,3.3,1120,"Arts & Letters","0",0,NA,"0",0.05676072418855
5347,6,6,"M",1,0,3.44,1190,"Arts & Letters","0",0,NA,"0",0.05676072418855
5348,6,6,"F",0,0,3.23,1120,"Business & Economics","0",0,NA,"0",0.05676072418855
5349,1,1,"M",0,0,4.33,1370,"Arts & Letters","1",0,NA,"1",0.896933560477002
5350,6,6,"F",1,0,3.68,1290,"Arts & Letters","0",0,NA,"0",0.26978417266187
5351,7,7,"F",1,0,3.67,1180,"Arts & Letters","1",0,NA,"0",0.05676072418855
5352,7,7,"M",1,0,3.61,1250,"Business & Economics","0",0,NA,"0",0.05676072418855
5353,3,7,"F",0,0,4.08,1260,"Math & Science","0",0,NA,"1",0.73936170212766
5354,3,2,"M",0,1,3.38,1100,"Business & Economics","0",0,NA,"0",0.05676072418855
5355,7,4,"M",1,0,3,1320,"Business & Economics","0",0,NA,"0",0.156017830609212
5356,4,4,"F",1,0,3.15,1190,"Math & Science","0",0,NA,"0",0.05676072418855
5357,2,2,"F",0,0,3.89,1130,"Arts & Letters","1",0,NA,"1",0.793939393939394
5358,6,6,"F",1,0,3.09,1060,"Business & Economics","0",0,NA,"0",0.05676072418855
5359,6,3,"F",1,0,3.14,1000,"Arts & Letters","0",0,NA,"0",0.05676072418855
5360,6,4,"F",1,0,3.82,1220,"Arts & Letters","0",0,NA,"0",0.245187436676798
5361,3,3,"M",1,0,3.86,1190,"Math & Science","0",0,NA,"0",0.245187436676798
5362,2,1,"F",0,0,2.14,970,"Math & Science","0",0,NA,"0",0.05676072418855
5363,3,4,"F",1,0,3.95,1270,"Arts & Letters","1",0,NA,"1",0.73936170212766
5364,1,1,"M",0,0,4.36,1020,"Math & Science","0",0,NA,"1",0.793939393939394
5365,6,6,"F",1,0,2.7,830,"Arts & Letters","0",0,NA,"0",0.05676072418855
5366,1,1,"M",0,0,3.2,1000,"Arts & Letters","0",0,NA,"0",0.05676072418855
5367,3,4,"F",0,1,4.14,1230,"Math & Science","1",0,NA,"0",0.320754716981132
5368,7,7,"M",1,0,3.22,1280,"Math & Science","0",0,NA,"0",0.156017830609212
5369,4,5,"M",0,0,3.4,1210,"Business & Economics","0",0,NA,"0",0.05676072418855
5370,7,4,"F",0,0,3.47,1270,"Arts & Letters","0",0,NA,"0",0.156017830609212
5371,7,6,"F",1,0,3.36,1140,"Business & Economics","0",1,3.042,"1",0.855172413793103
5372,6,6,"F",0,0,3.32,1220,"Arts & Letters","0",0,NA,"0",0.05676072418855
5373,6,6,"F",1,0,3.75,1230,"Math & Science","0",0,NA,"0",0.05676072418855
5374,1,2,"F",0,1,3.77,1240,"Math & Science","1",0,NA,"0",0.05676072418855
5375,1,2,"M",0,0,3.06,1100,"Math & Science","0",0,NA,"0",0.05676072418855
5376,6,6,"F",1,0,3.75,1260,"Math & Science","0",0,NA,"0",0.05676072418855
5377,7,7,"M",1,0,3.17,1270,"Arts & Letters","0",0,NA,"0",0.156017830609212
5378,7,6,"F",1,0,3.5,970,"Arts & Letters","0",0,NA,"0",0.05676072418855
5379,7,6,"M",0,0,3.7,1160,"Business & Economics","0",0,NA,"0",0.05676072418855
5380,7,6,"F",0,1,3.41,1150,"Arts & Letters","0",0,NA,"0",0.05676072418855
5381,3,5,"M",0,0,3.27,960,"Business & Economics","0",0,NA,"0",0.05676072418855
5382,4,7,"F",0,0,4.12,1340,"Arts & Letters","1",0,NA,"1",0.73936170212766
5383,7,6,"F",0,1,3.59,1050,"Math & Science","0",0,NA,"0",0.05676072418855
5384,6,2,"F",0,0,3.46,1080,"Arts & Letters","0",0,NA,"0",0.05676072418855
5385,6,7,"F",1,0,3.73,1180,"Arts & Letters","0",0,NA,"0",0.05676072418855
5386,6,3,"M",1,0,4.2,1340,"Business & Economics","1",0,NA,"1",0.73936170212766
5387,7,7,"F",0,0,4.25,1390,"Arts & Letters","1",0,NA,"1",0.896933560477002
5388,3,3,"M",0,0,2.7,1090,"Arts & Letters","0",0,NA,"0",0.05676072418855
5389,7,7,"F",0,1,3.77,1350,"Business & Economics","1",0,NA,"1",0.631578947368421
5390,7,7,"M",0,0,3.96,1480,"Arts & Letters","1",0,NA,"1",0.896933560477002
5391,7,7,"F",1,0,3.91,1320,"Arts & Letters","1",0,NA,"1",0.73936170212766
5392,7,7,"M",0,1,4.27,1540,"Math & Science","1",0,NA,"1",0.896933560477002
5393,3,3,"F",1,0,4.12,1250,"Arts & Letters","0",1,3.302,"1",0.854901960784314
5394,7,6,"M",1,0,4.07,1360,"Arts & Letters","1",0,NA,"1",0.896933560477002
5395,1,1,"F",0,0,4.09,1310,"Business & Economics","1",0,NA,"1",0.73936170212766
5396,4,4,"F",1,0,3.35,1210,"Business & Economics","0",0,NA,"0",0.05676072418855
5397,6,6,"F",1,0,2.91,950,"Math & Science","0",0,NA,"0",0.05676072418855
5398,4,2,"F",0,0,2.76,890,"Math & Science","0",0,NA,"0",0.05676072418855
5399,1,4,"F",0,0,3.9,1150,"Math & Science","1",0,NA,"0",0.393939393939394
5400,4,7,"F",1,0,3.91,1120,"Arts & Letters","0",0,NA,"0",0.245187436676798
5401,1,3,"F",1,0,3.75,820,"Math & Science","0",0,NA,"0",0.05676072418855
5402,4,5,"F",0,0,3.95,980,"Math & Science","0",0,NA,"0",0.245187436676798
5403,2,4,"F",0,0,3,880,"Arts & Letters","0",0,NA,"0",0.05676072418855
5404,1,1,"F",0,0,4.04,1010,"Arts & Letters","1",0,NA,"1",0.793939393939394
5405,6,6,"F",1,0,3.83,1060,"Math & Science","0",0,NA,"0",0.245187436676798
5406,2,2,"F",0,0,4.05,890,"Arts & Letters","0",0,NA,"0",0.320754716981132
5407,5,5,"F",1,0,3.86,1190,"Arts & Letters","0",0,NA,"0",0.245187436676798
5408,7,7,"F",1,0,4.08,1440,"Arts & Letters","1",0,NA,"1",0.896933560477002
5409,1,1,"F",0,0,3.3,1010,"Arts & Letters","0",0,NA,"0",0.05676072418855
5410,1,1,"F",0,0,3.2,840,"Math & Science","0",0,NA,"0",0.05676072418855
5411,6,6,"F",0,0,3.6,1460,"Business & Economics","0",0,NA,"1",0.880952380952381
5412,2,2,"F",1,0,4.03,1260,"Business & Economics","1",1,3.713,"1",0.73936170212766
5413,6,6,"M",1,0,4.09,1260,"Business & Economics","1",0,NA,"1",0.73936170212766
5414,4,4,"F",1,0,3.4,1030,"Business & Economics","0",0,NA,"0",0.05676072418855
5415,7,5,"M",1,0,3.09,1130,"Math & Science","0",0,NA,"0",0.05676072418855
5416,3,3,"F",0,0,3.35,1040,"Arts & Letters","0",0,NA,"0",0.05676072418855
5417,2,2,"F",0,0,3,970,"Math & Science","0",0,NA,"0",0.05676072418855
5418,4,4,"M",1,0,3.35,1070,"Business & Economics","0",0,NA,"0",0.05676072418855
5419,1,3,"F",0,0,3.72,1110,"Math & Science","1",0,NA,"0",0.05676072418855
5420,7,4,"M",1,0,3.95,1330,"Math & Science","1",0,NA,"1",0.73936170212766
5421,6,4,"M",1,0,3.68,1450,"Math & Science","0",0,NA,"0",0.384615384615385
5422,6,6,"F",1,0,4.27,1450,"Arts & Letters","1",0,NA,"1",0.896933560477002
5423,6,5,"F",1,0,4.14,1040,"Business & Economics","1",0,NA,"0",0.308370044052863
5424,7,4,"F",1,0,3.64,1120,"Arts & Letters","0",0,NA,"0",0.05676072418855
5425,7,6,"F",1,0,3.91,1410,"Arts & Letters","1",0,NA,"1",0.896933560477002
5426,4,1,"M",0,0,3.5,1020,"Math & Science","0",0,NA,"0",0.05676072418855
5427,3,4,"F",0,0,2.62,640,"Arts & Letters","0",0,NA,"0",0.05676072418855
5428,4,2,"F",0,1,3,1010,"Arts & Letters","0",0,NA,"0",0.05676072418855
5429,3,3,"M",0,1,3.59,1120,"Business & Economics","0",0,NA,"0",0.05676072418855
5430,6,5,"F",1,0,3.52,1130,"Arts & Letters","0",0,NA,"0",0.05676072418855
5431,3,6,"F",1,0,3.45,980,"Math & Science","0",0,NA,"0",0.05676072418855
5432,6,6,"F",0,1,3.82,1360,"Math & Science","0",0,NA,"1",0.896933560477002
5433,3,3,"F",0,0,3.77,1190,"Math & Science","0",0,NA,"0",0.05676072418855
5434,4,4,"M",1,0,3.4,1160,"Arts & Letters","0",0,NA,"0",0.05676072418855
5435,6,6,"F",1,0,2.62,940,"Arts & Letters","0",0,NA,"0",0.05676072418855
5436,1,5,"M",0,0,3.41,1090,"Arts & Letters","0",0,NA,"0",0.05676072418855
5437,1,1,"F",0,0,4,1020,"Math & Science","1",0,NA,"1",0.793939393939394
5438,4,4,"M",0,0,3.32,1060,"Math & Science","0",0,NA,"0",0.05676072418855
5439,6,6,"F",0,1,4.15,1230,"Business & Economics","0",0,NA,"1",0.717948717948718
5440,3,3,"F",1,0,2.8,1100,"Arts & Letters","0",0,NA,"0",0.05676072418855
5441,5,7,"M",0,0,4,1010,"Arts & Letters","0",0,NA,"0",0.245187436676798
5442,3,2,"F",0,0,3.11,730,"Math & Science","0",0,NA,"0",0.05676072418855
5443,3,5,"F",1,0,2.75,870,"Arts & Letters","0",0,NA,"0",0.05676072418855
5444,3,4,"M",0,0,3.35,990,"Math & Science","0",0,NA,"0",0.05676072418855
5445,7,6,"M",0,1,3.29,1250,"Arts & Letters","1",1,2.465,"1",0.855172413793103
5446,7,6,"F",1,0,3.64,1060,"Business & Economics","0",0,NA,"0",0.05676072418855
