"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA"
4631,6,6,"F",0,1,3.91,1260,"Business & Economics",1,0,NA
4632,1,1,"F",0,1,3.35,1080,"Business & Economics",0,0,NA
4633,5,5,"F",1,0,3.5,1190,"Business & Economics",0,0,NA
4634,4,3,"F",0,1,3.68,1160,"Math & Science",0,0,NA
4635,7,6,"M",1,0,3.83,1090,"Business & Economics",0,0,NA
4636,6,5,"M",1,0,3.15,1150,"Business & Economics",0,0,NA
4637,4,6,"M",1,0,3.58,1240,"Math & Science",0,0,NA
4638,7,7,"M",0,0,3.6,1090,"Arts & Letters",0,0,NA
4639,2,4,"F",0,0,4.27,1250,"Math & Science",0,0,NA
4640,7,7,"M",0,1,3.59,1240,"Arts & Letters",1,1,3.161
4641,3,6,"M",1,0,2.44,1190,"Arts & Letters",0,0,NA
4642,4,4,"F",1,0,3.82,1210,"Arts & Letters",1,0,NA
4643,6,6,"M",1,0,3.1,1520,"Arts & Letters",0,0,NA
4644,6,6,"M",0,0,3.77,1370,"Business & Economics",1,0,NA
4645,6,6,"M",1,0,4.25,1430,"Business & Economics",1,0,NA
4646,5,6,"F",1,0,4.15,1160,"Math & Science",0,0,NA
4647,1,1,"F",0,1,3.89,890,"Arts & Letters",1,0,NA
4648,7,7,"M",1,0,4.05,1250,"Arts & Letters",0,0,NA
4649,7,7,"M",0,0,4.14,1570,"Business & Economics",1,0,NA
4650,7,6,"F",1,0,3.85,1280,"Business & Economics",1,0,NA
4651,6,6,"M",1,0,3.29,1060,"Arts & Letters",0,0,NA
4652,4,4,"F",1,0,3.41,1010,"Arts & Letters",0,0,NA
4653,7,4,"F",1,0,3.88,1290,"Arts & Letters",0,0,NA
4654,7,7,"F",0,0,4,1100,"Math & Science",0,0,NA
4655,6,6,"F",0,1,3.77,1360,"Business & Economics",1,0,NA
4656,6,7,"F",1,0,3.7,1000,"Math & Science",0,0,NA
4657,7,4,"M",1,0,3.41,1030,"Arts & Letters",0,0,NA
4658,7,7,"F",0,0,3.75,1120,"Arts & Letters",1,1,3.057
4659,3,6,"M",1,0,3.86,1210,"Business & Economics",0,0,NA
4660,6,4,"F",0,1,3.87,1120,"Math & Science",0,0,NA
4661,7,7,"F",1,0,3.25,1020,"Business & Economics",0,0,NA
4662,7,7,"M",1,0,3.55,1330,"Arts & Letters",1,0,NA
4663,6,7,"F",1,0,3.45,1200,"Arts & Letters",0,0,NA
4664,7,7,"M",1,0,3.65,1400,"Business & Economics",1,1,3.074
4665,6,6,"M",1,0,3.22,1100,"Math & Science",0,0,NA
4666,6,4,"M",1,0,3.3,1170,"Business & Economics",0,0,NA
4667,2,3,"M",0,0,3.2,1090,"Arts & Letters",0,0,NA
4668,6,6,"M",0,0,3.68,1290,"Math & Science",0,0,NA
4669,7,7,"F",1,0,4.31,1390,"Math & Science",1,0,NA
4670,1,3,"F",0,0,3.69,1160,"Math & Science",1,0,NA
4671,6,6,"F",1,0,3.45,1080,"Arts & Letters",0,0,NA
4672,7,3,"F",1,0,3.41,1050,"Arts & Letters",0,0,NA
4673,4,4,"M",0,1,2.41,840,"Math & Science",0,0,NA
4674,6,7,"F",1,0,4.21,1290,"Arts & Letters",1,0,NA
4675,6,3,"F",0,0,4.2,1350,"Arts & Letters",0,0,NA
4676,3,3,"M",0,1,3.14,720,"Business & Economics",0,0,NA
4677,6,6,"M",0,1,3.91,1300,"Business & Economics",1,0,NA
4678,7,7,"F",1,0,3.81,1280,"Arts & Letters",1,0,NA
4679,6,7,"F",1,0,3.55,1210,"Arts & Letters",1,0,NA
4680,6,6,"M",0,1,3.62,1230,"Math & Science",1,0,NA
4681,6,6,"M",1,0,3.5,1400,"Business & Economics",1,1,2.989
4682,3,3,"F",1,0,3.33,1170,"Arts & Letters",0,0,NA
4683,4,4,"M",0,0,3.15,1230,"Math & Science",0,0,NA
4684,3,3,"F",1,0,4,1250,"Business & Economics",1,0,NA
4685,6,6,"F",0,0,3.5,1190,"Math & Science",1,1,1.657
4686,6,7,"M",1,0,2.82,960,"Arts & Letters",0,0,NA
4687,4,4,"F",0,1,4.4,1550,"Math & Science",1,0,NA
4688,7,7,"M",0,0,2.67,1500,"Arts & Letters",0,0,NA
4689,7,5,"F",1,0,3.5,1230,"Arts & Letters",1,0,NA
4690,4,3,"M",1,0,3.11,1210,"Business & Economics",0,0,NA
4691,4,3,"F",1,0,3.86,1170,"Arts & Letters",0,0,NA
4692,4,6,"F",1,0,4.3,1460,"Arts & Letters",0,0,NA
4693,6,3,"F",0,1,4.31,1010,"Business & Economics",1,0,NA
4694,6,7,"F",1,0,4.2,1370,"Arts & Letters",1,0,NA
4695,6,7,"F",1,0,3.77,1230,"Math & Science",0,0,NA
4696,6,7,"M",1,0,3.77,1320,"Business & Economics",1,0,NA
4697,6,6,"M",1,0,3.83,960,"Business & Economics",0,0,NA
4698,6,5,"F",1,0,3.55,990,"Arts & Letters",0,0,NA
4699,6,3,"F",0,1,3.46,1250,"Business & Economics",0,0,NA
4700,5,5,"M",1,0,3.25,1190,"Business & Economics",0,0,NA
4701,6,4,"M",0,0,2.95,1160,"Math & Science",0,0,NA
4702,6,6,"M",1,0,3,1140,"Math & Science",0,0,NA
4703,6,6,"M",1,0,3.43,1230,"Business & Economics",0,0,NA
4704,6,6,"M",1,0,3.33,1180,"Math & Science",0,0,NA
4705,7,7,"F",0,0,3.61,1210,"Math & Science",0,0,NA
4706,7,6,"M",1,0,4.09,1320,"Business & Economics",1,0,NA
4707,7,7,"F",1,0,3.11,1120,"Arts & Letters",0,0,NA
4708,7,7,"M",1,0,3.7,1140,"Arts & Letters",0,0,NA
4709,7,6,"F",0,0,4.32,1310,"Math & Science",1,0,NA
4710,3,3,"M",1,0,3.62,1020,"Math & Science",0,0,NA
4711,6,6,"M",1,0,4.1,1230,"Business & Economics",1,1,2.287
4712,4,3,"F",1,0,3.67,1170,"Arts & Letters",0,0,NA
4713,6,7,"M",1,0,4,1310,"Arts & Letters",0,0,NA
4714,3,4,"M",0,0,3.08,1090,"Math & Science",0,0,NA
4715,4,4,"F",1,0,2.94,1130,"Arts & Letters",0,0,NA
4716,6,6,"M",1,0,3.42,1030,"Arts & Letters",0,0,NA
4717,7,6,"F",1,0,3.15,970,"Arts & Letters",0,0,NA
4718,7,4,"F",0,0,3.02,1030,"Arts & Letters",0,0,NA
4719,7,6,"F",1,0,3.05,1230,"Math & Science",0,0,NA
4720,6,3,"M",0,0,3.32,1070,"Math & Science",0,0,NA
4721,7,7,"F",1,0,3.71,1300,"Business & Economics",1,0,NA
4722,7,5,"F",1,0,3.74,1320,"Arts & Letters",0,0,NA
4723,7,7,"F",1,0,3.76,1170,"Arts & Letters",0,0,NA
4724,7,6,"M",1,0,2.84,1200,"Math & Science",0,0,NA
4725,6,7,"M",0,0,2.67,1230,"Business & Economics",0,0,NA
4726,6,7,"M",0,0,3.13,1110,"Business & Economics",0,0,NA
4727,5,4,"M",0,1,4.11,1230,"Math & Science",1,0,NA
4728,6,4,"F",1,0,4.29,1310,"Math & Science",1,0,NA
4729,5,1,"F",0,1,3.68,1000,"Math & Science",1,0,NA
4730,6,6,"M",1,0,3.35,1260,"Arts & Letters",0,0,NA
4731,4,4,"F",0,1,4.08,1300,"Math & Science",1,0,NA
4732,7,6,"F",1,0,3.19,1040,"Math & Science",0,0,NA
4733,7,5,"F",1,0,4.05,1210,"Arts & Letters",0,0,NA
4734,7,7,"F",0,0,3.57,730,"Math & Science",0,0,NA
4735,4,6,"F",0,1,3.83,1170,"Math & Science",0,0,NA
4736,6,5,"F",1,0,3.82,1180,"Business & Economics",0,0,NA
4737,6,7,"M",1,0,3.45,1200,"Business & Economics",1,1,2.934
4738,5,6,"M",0,1,2.82,910,"Business & Economics",0,0,NA
4739,2,1,"F",0,0,4.23,1050,"Math & Science",1,0,NA
4740,6,5,"F",1,0,3.23,1010,"Arts & Letters",0,0,NA
4741,6,5,"F",0,0,3.25,1010,"Math & Science",0,0,NA
4742,6,7,"M",1,0,4.18,1220,"Business & Economics",1,0,NA
4743,6,6,"M",1,0,3.7,1280,"Math & Science",0,0,NA
4744,7,5,"F",0,0,3.38,920,"Arts & Letters",0,0,NA
4745,2,5,"M",0,0,3.5,1270,"Math & Science",0,0,NA
4746,6,6,"M",0,0,2.64,890,"Math & Science",0,0,NA
4747,5,4,"F",0,0,3.09,940,"Business & Economics",0,0,NA
4748,1,3,"F",1,0,3.55,880,"Arts & Letters",0,0,NA
4749,4,4,"F",0,0,4.05,1060,"Arts & Letters",0,0,NA
4750,3,1,"F",0,1,3.67,1130,"Math & Science",1,0,NA
4751,6,2,"F",0,0,4.3,990,"Math & Science",1,0,NA
4752,7,6,"F",1,0,3.71,1190,"Math & Science",0,0,NA
4753,6,6,"F",1,0,3.45,1310,"Arts & Letters",0,0,NA
4754,6,4,"F",0,0,3.35,1130,"Arts & Letters",0,0,NA
4755,6,7,"F",0,0,4.04,1180,"Arts & Letters",1,0,NA
4756,7,6,"F",1,0,4.05,1360,"Arts & Letters",1,0,NA
4757,7,4,"M",0,0,4.3,1210,"Business & Economics",0,0,NA
4758,1,1,"F",0,1,4.05,1210,"Math & Science",1,0,NA
4759,5,7,"F",0,1,4.25,1460,"Math & Science",1,0,NA
4760,6,7,"F",0,0,4.03,1490,"Arts & Letters",0,1,3.164
4761,6,7,"M",1,0,4.05,1430,"Arts & Letters",1,0,NA
4762,7,7,"M",0,1,3.5,1540,"Math & Science",1,0,NA
4763,3,6,"F",1,0,3.58,1110,"Math & Science",0,0,NA
4764,1,2,"F",0,0,3.95,1270,"Arts & Letters",1,0,NA
4765,2,2,"F",0,1,3.19,940,"Business & Economics",1,1,0.967
4766,4,7,"F",1,0,4.2,1210,"Math & Science",0,0,NA
4767,4,6,"M",0,0,4.05,1230,"Arts & Letters",1,0,NA
4768,3,3,"F",0,0,3.94,920,"Business & Economics",0,0,NA
4769,2,2,"F",0,0,3.65,890,"Business & Economics",0,0,NA
4770,3,3,"M",0,0,2.41,910,"Arts & Letters",0,0,NA
4771,2,1,"F",0,0,4,1070,"Arts & Letters",1,0,NA
4772,6,3,"M",1,0,3.47,1230,"Business & Economics",0,0,NA
4773,7,7,"F",1,0,3.62,1340,"Arts & Letters",0,0,NA
4774,1,1,"F",0,0,2.96,1010,"Math & Science",0,0,NA
4775,7,5,"F",1,0,3.52,1030,"Arts & Letters",0,0,NA
4776,6,3,"F",1,0,2.95,1150,"Math & Science",0,0,NA
4777,3,4,"M",1,0,4.18,1210,"Business & Economics",1,0,NA
4778,2,3,"M",0,0,1.57,820,"Math & Science",0,0,NA
4779,2,1,"M",0,0,3.77,960,"Math & Science",0,0,NA
4780,6,6,"M",1,0,3.2,900,"Business & Economics",0,0,NA
4781,6,4,"F",1,0,3.19,1040,"Math & Science",0,0,NA
4782,6,6,"M",1,0,2.8,1120,"Arts & Letters",0,0,NA
4783,1,1,"M",0,0,3.25,1230,"Arts & Letters",0,0,NA
4784,7,7,"M",1,0,3.5,1220,"Math & Science",0,0,NA
4785,1,4,"F",0,0,3.61,700,"Math & Science",0,0,NA
4786,3,3,"F",1,0,4,1060,"Math & Science",0,0,NA
4787,6,6,"F",1,0,3.6,1230,"Business & Economics",1,0,NA
4788,3,3,"F",1,0,3.45,1170,"Arts & Letters",1,1,2.921
4789,3,3,"F",1,0,3.84,1190,"Math & Science",1,0,NA
4790,1,3,"M",0,0,3.27,710,"Math & Science",0,0,NA
4791,6,6,"F",0,0,2.86,1030,"Business & Economics",0,0,NA
4792,7,6,"F",1,0,3,1090,"Business & Economics",0,0,NA
4793,6,6,"F",0,0,3.39,800,"Business & Economics",0,0,NA
4794,2,2,"M",0,0,3.5,1050,"Business & Economics",0,0,NA
4795,3,3,"F",0,0,3.58,1040,"Arts & Letters",0,0,NA
4796,6,6,"F",1,0,3.95,1130,"Arts & Letters",1,1,2.586
4797,7,6,"M",1,0,3.36,1210,"Arts & Letters",1,0,NA
4798,3,3,"M",0,0,3.64,1010,"Arts & Letters",0,0,NA
4799,6,6,"F",1,0,4.12,1290,"Arts & Letters",1,0,NA
4800,7,6,"M",1,0,4.12,1480,"Arts & Letters",1,0,NA
4801,4,6,"F",1,0,3.7,1050,"Math & Science",0,0,NA
4802,4,6,"F",1,0,3.54,1060,"Math & Science",0,0,NA
4803,7,6,"F",1,0,3.15,1250,"Arts & Letters",0,0,NA
4804,6,6,"F",0,0,3.55,1130,"Business & Economics",0,0,NA
4805,4,3,"F",0,0,3.62,1050,"Arts & Letters",0,0,NA
4806,5,5,"F",1,0,3.94,1030,"Math & Science",0,0,NA
4807,4,4,"M",0,0,2.94,930,"Math & Science",0,0,NA
4808,6,6,"F",1,0,3.85,1210,"Arts & Letters",1,0,NA
4809,6,6,"M",0,0,2.5,1040,"Business & Economics",0,0,NA
4810,6,6,"M",1,0,3.4,1290,"Math & Science",0,0,NA
4811,7,6,"M",1,0,3.22,1260,"Business & Economics",0,0,NA
4812,7,6,"F",1,0,3.83,1260,"Math & Science",0,0,NA
4813,7,6,"M",1,0,3.82,1240,"Math & Science",1,1,3.377
4814,4,7,"M",1,0,4.1,1180,"Math & Science",0,0,NA
4815,7,6,"M",0,1,3.09,1380,"Business & Economics",0,0,NA
4816,3,5,"F",1,0,3.35,1060,"Arts & Letters",0,0,NA
4817,1,1,"F",0,0,2.86,920,"Arts & Letters",0,0,NA
4818,7,7,"F",1,0,3.45,1270,"Arts & Letters",0,0,NA
4819,1,1,"F",0,0,4.1,1210,"Arts & Letters",0,0,NA
4820,1,3,"F",0,0,3.81,950,"Arts & Letters",1,0,NA
4821,7,7,"F",1,0,3.77,1290,"Arts & Letters",1,0,NA
4822,6,5,"M",1,0,3.35,1020,"Math & Science",0,0,NA
4823,1,4,"F",0,1,3.45,1080,"Math & Science",0,0,NA
4824,1,1,"M",0,1,3.05,980,"Math & Science",0,0,NA
4825,3,6,"F",0,1,3.25,890,"Arts & Letters",0,0,NA
4826,4,7,"F",1,0,3.4,920,"Arts & Letters",0,0,NA
4827,3,5,"F",1,0,3.68,1130,"Math & Science",0,0,NA
4828,6,3,"F",0,0,3.77,1120,"Math & Science",1,1,3.081
4829,7,4,"F",0,0,3.81,1470,"Business & Economics",1,0,NA
4830,6,7,"F",0,1,4.15,1260,"Business & Economics",1,0,NA
4831,1,1,"M",0,0,3.82,890,"Math & Science",0,0,NA
4832,6,6,"F",1,0,3.87,1310,"Arts & Letters",1,1,3.12
4833,7,4,"M",1,0,2.85,1040,"Business & Economics",0,0,NA
4834,1,3,"M",0,0,3.1,1030,"Business & Economics",0,0,NA
4835,6,6,"F",0,0,4.36,1280,"Math & Science",1,0,NA
4836,7,6,"F",0,1,3.97,1460,"Math & Science",1,0,NA
4837,6,3,"F",1,0,3.55,1210,"Math & Science",0,0,NA
4838,7,6,"F",1,0,2.92,1050,"Arts & Letters",0,0,NA
4839,5,3,"F",0,0,3.7,900,"Math & Science",0,0,NA
4840,4,3,"F",0,0,3,970,"Arts & Letters",0,0,NA
4841,6,6,"M",1,0,3.76,1550,"Business & Economics",1,0,NA
4842,2,4,"F",0,0,3.65,1080,"Arts & Letters",1,0,NA
4843,7,5,"F",1,0,3.16,1010,"Arts & Letters",0,0,NA
4844,6,6,"F",1,0,3.82,1340,"Business & Economics",1,1,3.583
4845,7,4,"M",1,0,3.86,1140,"Business & Economics",1,1,2.897
4846,6,7,"F",1,0,3.95,1100,"Math & Science",0,0,NA
4847,6,4,"F",0,0,3.25,1370,"Arts & Letters",0,0,NA
4848,5,6,"F",1,0,2.75,930,"Business & Economics",0,0,NA
4849,4,4,"F",1,0,3.67,1000,"Math & Science",0,0,NA
4850,3,6,"F",1,0,3.7,1160,"Business & Economics",0,0,NA
4851,6,6,"M",1,0,3.85,1110,"Business & Economics",1,0,NA
4852,4,7,"F",0,0,3.75,950,"Math & Science",0,0,NA
4853,7,7,"M",1,0,3.52,1100,"Business & Economics",0,0,NA
4854,4,7,"F",0,1,3.75,980,"Arts & Letters",0,0,NA
4855,7,5,"M",0,0,2.86,1080,"Math & Science",0,0,NA
4856,6,6,"M",1,0,4,1210,"Arts & Letters",0,1,2.965
4857,3,4,"M",1,0,3.28,1030,"Math & Science",0,0,NA
4858,6,5,"F",1,0,3.95,970,"Math & Science",0,0,NA
4859,6,7,"F",0,0,3.11,1190,"Math & Science",0,0,NA
4860,6,6,"F",1,0,3.63,1240,"Business & Economics",0,0,NA
4861,6,6,"M",0,1,3.28,1110,"Arts & Letters",0,0,NA
4862,7,6,"F",0,1,3.59,1320,"Math & Science",0,0,NA
4863,6,7,"M",0,1,4.18,1290,"Arts & Letters",1,0,NA
4864,6,7,"M",1,0,3.56,1290,"Math & Science",0,0,NA
4865,5,6,"M",1,0,2.95,1110,"Math & Science",0,0,NA
4866,2,3,"F",0,0,3.9,1070,"Math & Science",1,0,NA
4867,7,6,"M",0,0,3.4,1330,"Math & Science",0,0,NA
4868,6,6,"F",1,0,3.32,1190,"Arts & Letters",0,0,NA
4869,6,6,"M",0,0,3,900,"Business & Economics",0,0,NA
4870,6,6,"F",1,0,3.32,1180,"Arts & Letters",0,0,NA
4871,6,4,"F",0,0,2.91,1060,"Business & Economics",0,0,NA
4872,7,7,"M",0,0,3.42,1380,"Business & Economics",1,0,NA
4873,7,7,"F",0,0,3.77,920,"Math & Science",0,0,NA
4874,4,4,"F",1,0,3.04,1100,"Business & Economics",0,0,NA
4875,4,4,"M",1,0,3.46,1450,"Arts & Letters",0,0,NA
4876,6,6,"F",1,0,3.57,1160,"Business & Economics",1,1,3.013
4877,6,7,"F",1,0,3.5,1180,"Arts & Letters",0,0,NA
4878,4,5,"F",1,0,4.4,1180,"Arts & Letters",0,0,NA
4879,4,4,"F",1,0,3.45,890,"Math & Science",0,0,NA
4880,7,6,"F",1,0,3.36,1250,"Arts & Letters",0,0,NA
4881,3,3,"F",0,1,3.5,1150,"Business & Economics",0,0,NA
4882,7,6,"M",1,0,3.25,1390,"Arts & Letters",0,0,NA
4883,7,7,"M",1,0,2.98,1000,"Business & Economics",0,0,NA
4884,7,6,"F",0,1,3.3,1290,"Arts & Letters",0,0,NA
4885,6,4,"M",1,0,3.96,1310,"Business & Economics",0,0,NA
4886,6,7,"M",1,0,3.1,910,"Business & Economics",0,0,NA
4887,6,6,"F",1,0,3.91,1170,"Business & Economics",0,0,NA
4888,6,6,"F",0,0,3.67,980,"Arts & Letters",1,0,NA
4889,7,6,"F",1,0,3.28,1180,"Arts & Letters",0,0,NA
4890,4,5,"M",0,0,3.95,1130,"Business & Economics",1,1,3.033
4891,7,7,"M",1,0,3.85,1150,"Arts & Letters",1,0,NA
4892,6,6,"M",0,0,3.56,1170,"Business & Economics",0,0,NA
4893,7,7,"M",1,0,2.59,1270,"Arts & Letters",0,0,NA
4894,7,2,"M",0,0,3.75,1190,"Math & Science",1,1,2.698
4895,4,5,"F",0,0,3.52,880,"Arts & Letters",0,0,NA
4896,6,5,"F",1,0,3.89,1350,"Arts & Letters",1,0,NA
4897,4,7,"M",0,1,3.5,1170,"Business & Economics",0,0,NA
4898,7,5,"F",0,1,3.62,1360,"Arts & Letters",0,0,NA
4899,4,7,"M",1,0,3.63,1040,"Arts & Letters",0,0,NA
4900,4,3,"F",0,0,3.32,1230,"Arts & Letters",0,0,NA
4901,7,6,"F",0,0,4,1370,"Arts & Letters",1,0,NA
4902,6,6,"M",0,1,3.5,1060,"Business & Economics",0,0,NA
4903,6,7,"F",0,1,3.45,1130,"Math & Science",0,0,NA
4904,7,7,"F",1,0,3.74,1200,"Arts & Letters",0,0,NA
4905,6,6,"F",0,1,3.33,1300,"Business & Economics",0,0,NA
4906,7,6,"F",1,0,3.86,1370,"Arts & Letters",1,0,NA
4907,5,5,"M",1,0,3.59,1040,"Math & Science",0,0,NA
4908,7,7,"F",1,0,3.5,1220,"Math & Science",0,0,NA
4909,6,5,"F",1,0,3.45,1040,"Arts & Letters",0,0,NA
4910,7,6,"M",1,0,1.95,1070,"Business & Economics",0,0,NA
4911,7,6,"M",0,1,3.64,1280,"Business & Economics",0,0,NA
4912,4,6,"F",0,0,3.68,1130,"Arts & Letters",0,1,3.325
4913,7,4,"M",1,0,4.09,1410,"Arts & Letters",1,1,3.854
4914,6,2,"F",0,1,3.21,960,"Business & Economics",0,0,NA
4915,6,6,"F",1,0,3.14,860,"Arts & Letters",0,0,NA
4916,7,4,"F",1,0,3.92,1330,"Math & Science",1,0,NA
4917,6,4,"F",1,0,3.54,950,"Arts & Letters",0,0,NA
4918,6,6,"M",0,1,4.09,1200,"Math & Science",0,0,NA
4919,4,3,"F",1,0,4,1040,"Business & Economics",0,0,NA
4920,6,6,"M",1,0,2.81,790,"Business & Economics",0,0,NA
4921,6,6,"M",1,0,2.38,1080,"Business & Economics",0,0,NA
4922,6,6,"F",1,0,3.82,1040,"Math & Science",0,0,NA
4923,2,5,"M",1,0,4.3,1170,"Math & Science",1,0,NA
4924,4,3,"M",0,0,2.15,690,"Math & Science",0,0,NA
4925,1,1,"M",0,0,3.78,950,"Arts & Letters",1,0,NA
4926,6,4,"F",1,0,3.75,860,"Business & Economics",0,0,NA
4927,1,1,"M",0,0,4.23,1040,"Math & Science",1,0,NA
4928,1,1,"M",0,0,3.58,1090,"Math & Science",1,0,NA
4929,6,3,"M",0,0,2.8,1030,"Math & Science",0,0,NA
4930,2,1,"M",0,0,4.25,920,"Arts & Letters",1,0,NA
4931,4,4,"M",1,0,3.45,1150,"Math & Science",0,0,NA
4932,6,5,"M",1,0,3.41,1220,"Math & Science",0,0,NA
4933,6,7,"F",1,0,3.68,1310,"Business & Economics",1,0,NA
4934,2,4,"M",0,0,3.82,830,"Math & Science",0,0,NA
4935,7,7,"F",1,0,3.6,1100,"Math & Science",0,0,NA
4936,6,6,"F",1,0,3.95,1330,"Math & Science",1,0,NA
4937,6,6,"F",1,0,4.25,1150,"Math & Science",0,0,NA
4938,3,6,"F",0,1,4.26,1350,"Math & Science",1,0,NA
4939,6,4,"F",0,1,3.27,1180,"Arts & Letters",0,0,NA
4940,2,3,"F",0,0,3.76,830,"Arts & Letters",0,0,NA
4941,7,7,"M",0,0,3.3,1220,"Arts & Letters",1,1,3.087
4942,6,7,"M",1,0,3.6,1310,"Business & Economics",0,0,NA
4943,6,7,"F",0,0,3.95,1290,"Business & Economics",1,0,NA
4944,7,6,"F",1,0,3.52,1110,"Business & Economics",0,0,NA
4945,6,7,"F",1,0,3.71,1220,"Arts & Letters",0,0,NA
4946,7,7,"F",0,0,4.12,1190,"Math & Science",0,0,NA
4947,1,3,"F",0,0,3.7,770,"Arts & Letters",0,0,NA
4948,3,3,"M",1,0,4.14,1290,"Business & Economics",1,0,NA
4949,3,3,"M",0,0,3.33,1050,"Business & Economics",1,1,2.773
4950,1,1,"F",0,0,4.17,1150,"Arts & Letters",0,0,NA
4951,3,3,"F",0,0,3.5,800,"Arts & Letters",0,0,NA
4952,7,7,"M",1,0,3.54,1320,"Math & Science",0,0,NA
4953,6,6,"F",0,0,3.85,1080,"Arts & Letters",1,1,3.068
4954,7,7,"F",1,0,4.15,1240,"Arts & Letters",0,0,NA
4955,6,5,"F",0,1,3.75,1280,"Arts & Letters",1,0,NA
4956,2,5,"F",0,0,3.07,620,"Business & Economics",0,0,NA
4957,7,7,"F",0,0,4.04,1420,"Math & Science",1,0,NA
4958,3,5,"F",0,0,3.72,1130,"Math & Science",0,0,NA
4959,3,3,"M",1,0,3.62,1160,"Business & Economics",0,0,NA
4960,7,7,"M",1,0,3.18,1160,"Math & Science",0,0,NA
4961,6,6,"F",1,0,4.05,1290,"Arts & Letters",0,0,NA
4962,7,7,"M",1,0,3.96,1290,"Math & Science",1,0,NA
4963,7,5,"F",1,0,3.71,1140,"Arts & Letters",0,0,NA
4964,7,7,"F",0,1,4.12,1550,"Business & Economics",1,0,NA
4965,7,6,"M",1,0,4.17,1450,"Math & Science",1,0,NA
4966,6,6,"M",0,1,2.96,1200,"Business & Economics",0,0,NA
4967,4,3,"F",1,0,3.5,1030,"Arts & Letters",0,0,NA
4968,7,6,"F",0,1,4.17,1210,"Business & Economics",1,0,NA
4969,7,6,"M",0,1,3.38,1280,"Math & Science",0,0,NA
4970,5,6,"F",0,1,3.77,1310,"Arts & Letters",0,0,NA
4971,6,6,"F",0,1,3.08,1080,"Math & Science",0,0,NA
4972,7,7,"M",0,1,3.42,1390,"Math & Science",0,0,NA
4973,5,6,"F",1,0,3.61,1140,"Math & Science",0,0,NA
4974,6,5,"M",1,0,4.17,1420,"Math & Science",1,0,NA
4975,7,6,"M",1,0,3.95,1380,"Business & Economics",1,0,NA
4976,4,1,"M",0,0,3.11,1050,"Math & Science",0,0,NA
4977,6,7,"F",1,0,4.09,1470,"Arts & Letters",1,0,NA
4978,6,6,"M",0,1,3.23,1200,"Business & Economics",0,0,NA
4979,7,4,"F",0,0,3.1,1170,"Arts & Letters",0,0,NA
4980,4,6,"M",0,0,2.06,740,"Business & Economics",0,0,NA
4981,6,7,"F",1,0,3.79,1190,"Arts & Letters",1,0,NA
4982,6,5,"F",1,0,4,1300,"Arts & Letters",0,0,NA
4983,7,6,"M",1,0,3.39,1290,"Business & Economics",1,0,NA
4984,7,6,"M",1,0,3.25,1230,"Arts & Letters",0,0,NA
4985,7,6,"M",0,0,3.41,1320,"Business & Economics",0,0,NA
4986,7,7,"F",1,0,3.85,1270,"Math & Science",1,0,NA
4987,5,5,"M",0,1,3.14,1160,"Math & Science",0,0,NA
4988,7,6,"F",1,0,3.18,1100,"Arts & Letters",0,0,NA
4989,6,6,"F",1,0,3.9,1320,"Business & Economics",1,1,3.392
4990,6,6,"F",1,0,3.65,1030,"Arts & Letters",1,0,NA
4991,7,7,"M",1,0,3.2,1100,"Business & Economics",0,0,NA
4992,1,3,"M",0,0,4.3,830,"Math & Science",0,0,NA
4993,6,4,"M",0,0,2.95,1110,"Arts & Letters",0,0,NA
4994,7,7,"F",0,0,3.33,1160,"Math & Science",0,0,NA
4995,4,4,"F",0,1,3.57,1380,"Math & Science",0,0,NA
4996,5,7,"F",1,0,4.17,1290,"Arts & Letters",1,0,NA
4997,6,1,"F",0,1,4.29,1290,"Math & Science",1,0,NA
4998,1,5,"F",0,0,3.12,860,"Arts & Letters",0,0,NA
4999,6,6,"M",0,1,2.29,950,"Math & Science",0,0,NA
5000,7,6,"F",0,1,4.07,1340,"Math & Science",1,0,NA
5001,6,4,"M",0,1,3.84,1240,"Business & Economics",0,0,NA
5002,5,2,"F",0,1,3.95,1190,"Math & Science",1,0,NA
5003,5,6,"F",0,1,3.71,1170,"Business & Economics",0,0,NA
5004,6,6,"F",0,1,3.65,1080,"Arts & Letters",0,0,NA
5005,6,6,"F",1,0,4.14,1120,"Math & Science",1,0,NA
5006,6,6,"F",1,0,3.18,830,"Arts & Letters",0,0,NA
5007,3,3,"M",1,0,3.65,1030,"Math & Science",0,0,NA
5008,7,5,"F",1,0,4,1170,"Math & Science",0,0,NA
5009,6,6,"F",0,1,3.96,1340,"Arts & Letters",1,0,NA
5010,1,4,"M",0,0,4,790,"Business & Economics",1,0,NA
5011,1,1,"F",0,0,3.83,1070,"Arts & Letters",0,0,NA
5012,7,6,"M",1,0,3.59,1060,"Arts & Letters",0,0,NA
5013,1,1,"F",0,0,3.41,800,"Math & Science",1,0,NA
5014,7,4,"F",1,0,3.73,1270,"Math & Science",0,0,NA
5015,2,4,"F",0,0,2.86,940,"Arts & Letters",0,0,NA
5016,7,3,"M",1,0,3.27,1140,"Math & Science",0,0,NA
5017,7,5,"F",1,0,2.57,850,"Arts & Letters",0,0,NA
5018,1,1,"M",0,0,3.9,1060,"Arts & Letters",1,0,NA
