"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA"
91,6,6,"M",0,0,4.14,1310,"Math & Science",1,0,NA
92,7,7,"M",0,1,3.38,1330,"Math & Science",0,0,NA
93,1,1,"M",0,0,3.58,1300,"Math & Science",1,0,NA
94,7,7,"M",1,0,3.5,1230,"Math & Science",0,0,NA
95,7,6,"M",0,0,3.75,1240,"Business & Economics",1,1,3.344
96,6,5,"M",1,0,2.95,1260,"Business & Economics",0,0,NA
97,7,6,"F",1,0,3.95,1250,"Business & Economics",1,0,NA
98,6,6,"F",1,0,3.71,1190,"Math & Science",0,0,NA
99,5,7,"M",1,0,3.82,1240,"Math & Science",0,0,NA
100,6,6,"F",0,0,4.23,1340,"Math & Science",1,0,NA
101,6,6,"F",1,0,4.33,1450,"Arts & Letters",1,0,NA
102,7,7,"M",0,0,3.62,1240,"Math & Science",0,0,NA
103,6,7,"F",1,0,3.82,1270,"Math & Science",1,1,3.106
104,6,7,"F",1,0,4.04,1270,"Arts & Letters",1,0,NA
105,6,6,"M",0,1,2.6,1410,"Arts & Letters",0,0,NA
106,6,6,"M",0,1,3.75,1340,"Math & Science",1,0,NA
107,4,5,"F",0,1,3.86,1230,"Arts & Letters",0,0,NA
108,6,6,"F",1,0,3.38,970,"Arts & Letters",0,0,NA
109,3,3,"F",0,0,3.6,1040,"Arts & Letters",0,0,NA
110,6,6,"M",1,0,4.25,1270,"Business & Economics",1,0,NA
111,5,5,"M",1,0,2.89,1490,"Arts & Letters",0,0,NA
112,6,6,"M",1,0,4.32,1500,"Math & Science",1,1,3.426
113,7,7,"M",1,0,4,1130,"Arts & Letters",0,0,NA
114,6,6,"M",0,1,4.33,1380,"Math & Science",1,0,NA
115,7,7,"F",0,0,4.2,1230,"Arts & Letters",0,1,3.116
116,7,7,"M",1,0,3.46,1230,"Arts & Letters",0,0,NA
117,7,6,"F",1,0,3.92,1320,"Math & Science",1,1,3.396
118,7,7,"M",0,0,2.95,1430,"Math & Science",0,0,NA
119,6,6,"F",1,0,3.83,1240,"Arts & Letters",1,1,3.926
120,5,4,"M",0,0,0,880,"Business & Economics",0,0,NA
121,7,7,"M",1,0,4,1410,"Business & Economics",1,0,NA
122,1,2,"F",0,0,3.29,880,"Arts & Letters",0,0,NA
123,6,6,"F",1,0,3.95,1140,"Math & Science",0,0,NA
124,6,5,"M",0,1,2.78,1200,"Math & Science",0,0,NA
125,7,7,"M",1,0,3.95,1300,"Arts & Letters",0,1,3.277
126,6,1,"F",0,0,3.05,920,"Arts & Letters",0,0,NA
127,6,6,"M",0,1,3.68,1430,"Math & Science",0,0,NA
128,6,5,"F",0,0,4.17,1460,"Math & Science",1,0,NA
129,7,6,"M",1,0,3.14,1150,"Business & Economics",0,0,NA
130,1,1,"F",0,0,3.86,850,"Arts & Letters",0,0,NA
131,7,4,"F",0,0,3.89,1250,"Math & Science",1,1,3.357
132,6,6,"M",1,0,3.6,1130,"Math & Science",0,0,NA
133,7,6,"M",1,0,3.45,1410,"Math & Science",0,0,NA
134,6,5,"M",1,0,3.26,1100,"Business & Economics",0,0,NA
135,6,6,"M",1,0,3.5,1270,"Math & Science",0,0,NA
136,6,7,"F",0,0,3.87,1170,"Arts & Letters",1,1,2.733
137,1,1,"M",0,0,4.2,980,"Business & Economics",1,0,NA
138,5,5,"M",1,0,4.17,1250,"Math & Science",0,0,NA
139,7,7,"F",1,0,3.7,1220,"Arts & Letters",0,0,NA
140,6,6,"M",0,0,2.73,1060,"Business & Economics",0,0,NA
141,7,6,"M",1,0,3.82,1440,"Math & Science",1,1,1.847
142,7,7,"M",1,0,3.25,1160,"Arts & Letters",0,0,NA
143,7,4,"F",0,0,3.88,1180,"Business & Economics",0,0,NA
144,7,7,"M",1,0,3.92,1200,"Arts & Letters",1,0,NA
145,6,6,"M",1,0,3.03,1190,"Arts & Letters",0,0,NA
146,4,4,"F",0,0,2.79,940,"Arts & Letters",0,0,NA
147,2,3,"M",0,0,3.73,1190,"Math & Science",1,0,NA
148,7,7,"M",1,0,3.96,1120,"Math & Science",1,1,3.471
149,7,7,"F",1,0,4.21,1360,"Math & Science",1,1,3.123
150,6,6,"F",0,0,3.36,1240,"Arts & Letters",0,0,NA
151,7,7,"M",1,0,0,1120,"Arts & Letters",0,0,NA
152,3,4,"M",1,0,3.5,1030,"Business & Economics",0,0,NA
153,7,6,"F",1,0,3.8,1270,"Arts & Letters",0,0,NA
154,7,7,"M",1,0,3.06,1230,"Math & Science",0,0,NA
155,6,4,"M",1,0,2.65,1160,"Business & Economics",0,0,NA
156,7,6,"F",0,0,2.92,1250,"Math & Science",0,0,NA
157,6,6,"F",1,0,2.91,1140,"Business & Economics",0,0,NA
158,6,6,"M",1,0,4.25,1350,"Business & Economics",1,0,NA
159,6,4,"M",1,0,3.7,1130,"Business & Economics",0,0,NA
160,7,7,"F",1,0,4.04,1450,"Arts & Letters",1,0,NA
161,4,3,"F",1,0,3.73,1230,"Arts & Letters",0,0,NA
162,6,6,"M",1,0,3.27,1240,"Math & Science",0,0,NA
163,5,6,"F",0,1,3.85,1120,"Math & Science",1,0,NA
164,7,7,"M",1,0,3.95,1430,"Business & Economics",1,0,NA
165,7,7,"M",0,0,3.9,1280,"Math & Science",0,0,NA
166,7,7,"F",1,0,3.59,950,"Arts & Letters",1,1,2.255
167,6,5,"F",0,0,3.29,1200,"Arts & Letters",0,0,NA
168,6,6,"M",1,0,4.23,1400,"Arts & Letters",1,0,NA
169,7,7,"F",0,0,2.68,930,"Math & Science",0,0,NA
170,6,7,"M",1,0,4,1340,"Math & Science",0,1,3.372
171,6,6,"F",1,0,3.4,1000,"Business & Economics",1,1,2.919
172,7,6,"F",1,0,4.27,1140,"Arts & Letters",1,1,3.386
173,6,5,"F",0,0,3.43,1130,"Arts & Letters",0,0,NA
174,6,6,"M",1,0,3.44,1290,"Math & Science",0,0,NA
175,7,7,"F",1,0,4,1210,"Business & Economics",0,1,3.079
176,3,7,"M",0,0,3.71,1360,"Math & Science",1,0,NA
177,7,7,"F",1,0,4.11,1300,"Arts & Letters",1,0,NA
178,6,6,"M",0,1,4,1250,"Arts & Letters",1,1,3.296
179,3,3,"F",0,0,3.61,1050,"Business & Economics",1,1,2.88
180,6,6,"M",1,0,3.25,1140,"Arts & Letters",0,0,NA
181,7,7,"M",1,0,4.24,1280,"Business & Economics",0,0,NA
182,3,6,"F",0,0,3.45,1150,"Math & Science",0,0,NA
183,7,7,"F",1,0,4.04,1320,"Math & Science",0,0,NA
184,7,7,"M",1,0,4.08,1280,"Math & Science",1,0,NA
185,4,4,"M",0,0,2.86,860,"Arts & Letters",0,0,NA
186,7,7,"M",1,0,3.5,1060,"Business & Economics",0,0,NA
187,4,6,"M",1,0,3.5,1530,"Arts & Letters",1,0,NA
188,7,6,"M",0,0,3.95,1400,"Business & Economics",1,0,NA
189,6,6,"M",1,0,3.67,1190,"Arts & Letters",1,0,NA
190,6,6,"F",0,0,4.09,1190,"Arts & Letters",1,0,NA
191,2,1,"F",0,0,3.44,960,"Business & Economics",1,0,NA
192,7,4,"M",0,0,3.95,1240,"Business & Economics",0,0,NA
193,7,7,"M",1,0,3.9,1240,"Arts & Letters",1,0,NA
194,7,7,"F",1,0,4,1390,"Math & Science",1,0,NA
195,7,6,"M",1,0,3.22,1330,"Arts & Letters",0,0,NA
196,5,7,"M",1,0,3.3,1130,"Arts & Letters",0,0,NA
197,7,7,"F",1,0,4.12,1290,"Arts & Letters",1,0,NA
198,7,4,"M",1,0,3.14,1010,"Business & Economics",0,0,NA
199,7,7,"M",0,0,3.94,1360,"Arts & Letters",0,0,NA
200,4,4,"M",0,1,0,1000,"Math & Science",0,0,NA
201,6,3,"F",0,0,3,1050,"Math & Science",0,0,NA
202,6,5,"M",0,1,3.23,1250,"Math & Science",0,0,NA
203,5,5,"M",1,0,3.64,910,"Business & Economics",0,0,NA
204,4,6,"M",0,0,3.05,1230,"Math & Science",0,0,NA
205,7,7,"F",0,0,4.23,1150,"Math & Science",0,0,NA
206,7,7,"M",1,0,4.27,1550,"Math & Science",1,0,NA
207,7,6,"M",1,0,4,1130,"Math & Science",0,0,NA
208,6,5,"M",1,0,3.64,1350,"Business & Economics",1,0,NA
209,7,7,"M",1,0,3.4,1110,"Arts & Letters",0,0,NA
210,3,3,"M",0,0,3.42,720,"Arts & Letters",0,0,NA
211,2,1,"M",0,0,2.76,1160,"Arts & Letters",0,0,NA
212,7,6,"M",1,0,4,1150,"Business & Economics",0,0,NA
213,3,4,"M",0,0,3.32,750,"Math & Science",0,0,NA
214,2,2,"F",0,0,2.94,520,"Arts & Letters",0,0,NA
215,1,2,"F",0,1,3.36,1130,"Math & Science",0,0,NA
216,7,6,"M",1,0,3.64,1260,"Arts & Letters",0,0,NA
217,4,3,"M",0,0,4.33,1320,"Math & Science",1,1,3.935
218,5,4,"F",1,0,3.14,1060,"Math & Science",0,0,NA
219,3,3,"M",0,1,3.68,1170,"Math & Science",0,0,NA
220,3,3,"F",1,0,4.05,1100,"Arts & Letters",0,0,NA
221,6,7,"M",1,0,3.73,1040,"Business & Economics",1,0,NA
222,6,6,"M",1,0,3.74,1260,"Business & Economics",1,1,2.81
223,3,2,"F",1,0,3.14,1000,"Arts & Letters",0,0,NA
224,5,3,"M",0,0,4.25,1310,"Math & Science",1,1,2.498
225,3,7,"M",0,0,3.58,1300,"Arts & Letters",1,0,NA
226,7,6,"F",1,0,3.45,1440,"Business & Economics",1,0,NA
227,7,6,"F",1,0,4.25,1250,"Math & Science",0,0,NA
228,7,4,"F",1,0,4.3,1500,"Arts & Letters",1,0,NA
229,6,6,"F",0,1,3.62,1290,"Arts & Letters",0,0,NA
230,6,6,"M",1,0,3.33,990,"Business & Economics",0,0,NA
231,6,4,"M",0,0,2.71,1070,"Business & Economics",0,0,NA
232,1,1,"F",0,1,3.56,930,"Arts & Letters",0,0,NA
233,7,7,"M",1,0,4.04,1140,"Business & Economics",1,1,2.932
234,6,6,"F",1,0,3.45,1170,"Business & Economics",0,0,NA
235,6,4,"F",1,0,4,1320,"Math & Science",1,0,NA
236,5,5,"M",1,0,3.26,910,"Business & Economics",0,0,NA
237,6,6,"F",1,0,3.95,1230,"Arts & Letters",1,0,NA
238,7,6,"F",1,0,3.8,1210,"Arts & Letters",1,1,3.128
239,4,6,"F",1,0,4.2,1140,"Business & Economics",1,1,3.641
240,4,4,"F",1,0,3.95,1340,"Arts & Letters",1,1,3.58
241,7,7,"M",1,0,4.35,1230,"Arts & Letters",0,0,NA
242,6,6,"M",0,0,3,1130,"Business & Economics",0,0,NA
243,6,4,"F",0,0,4,1170,"Arts & Letters",1,0,NA
244,6,6,"F",0,1,3.67,940,"Math & Science",0,0,NA
245,6,6,"F",1,0,3.72,1210,"Math & Science",1,1,2.287
246,6,6,"M",1,0,3.43,1250,"Arts & Letters",0,0,NA
247,6,6,"F",0,0,4.04,1310,"Math & Science",1,0,NA
248,6,6,"F",1,0,3.91,1480,"Business & Economics",1,0,NA
249,6,6,"F",1,0,4.1,1450,"Business & Economics",1,0,NA
250,7,4,"F",0,0,3.58,1200,"Arts & Letters",1,1,3.08
251,6,7,"M",1,0,3.52,1210,"Math & Science",0,0,NA
252,6,6,"M",0,1,3.45,1320,"Math & Science",1,1,2.27
253,6,4,"M",0,0,3.31,1270,"Business & Economics",0,0,NA
254,7,6,"M",1,0,3.55,1380,"Business & Economics",0,0,NA
255,6,4,"M",1,0,2.75,1040,"Math & Science",0,0,NA
256,7,7,"F",0,0,3.8,1090,"Arts & Letters",0,0,NA
257,2,2,"F",0,1,2.86,980,"Business & Economics",0,0,NA
258,7,6,"F",1,0,4.17,1360,"Business & Economics",1,1,2.986
259,6,6,"F",1,0,3.64,1420,"Math & Science",1,0,NA
260,7,7,"M",1,0,4,1460,"Math & Science",1,0,NA
261,6,7,"F",1,0,3.7,1150,"Arts & Letters",0,1,2.947
262,6,6,"F",1,0,4.05,1230,"Math & Science",1,1,3.602
263,6,6,"F",1,0,4,1210,"Arts & Letters",1,1,3.176
