"Applicant","Edu_Parent1","Edu_Parent2","Sex","White","Asian","HSGPA","SAT_ACT","College","Admitted","Enrolled","College_GPA","Admit_Tree_Pred","Admit_Tree_Prob","Enrolled_Factor","Enroll_Tree_Pred","Enroll_Tree_Prob"
110,6,6,"M","1","0",4.25,1270,"Business & Economics","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
112,6,6,"M","1","0",4.32,1500,"Math & Science","1","1",3.426,1,0.896933560477002,"1","0",0.123106060606061
114,6,6,"M","0","1",4.33,1380,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
117,7,6,"F","1","0",3.92,1320,"Math & Science","1","1",3.396,1,0.73936170212766,"1","0",0.173497267759563
119,6,6,"F","1","0",3.83,1240,"Arts & Letters","1","1",3.926,1,0.854901960784314,"1","1",1
121,7,7,"M","1","0",4,1410,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
128,6,5,"F","0","0",4.17,1460,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
131,7,4,"F","0","0",3.89,1250,"Math & Science","1","1",3.357,1,0.854901960784314,"1","1",1
136,6,7,"F","0","0",3.87,1170,"Arts & Letters","1","1",2.733,1,0.854901960784314,"1","1",1
137,1,1,"M","0","0",4.2,980,"Business & Economics","1","0",NA,1,0.793939393939394,"0","0",0.173497267759563
141,7,6,"M","1","0",3.82,1440,"Math & Science","1","1",1.847,1,0.896933560477002,"1","0",0.123106060606061
144,7,7,"M","1","0",3.92,1200,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
147,2,3,"M","0","0",3.73,1190,"Math & Science","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
148,7,7,"M","1","0",3.96,1120,"Math & Science","1","1",3.471,1,0.854901960784314,"1","1",1
149,7,7,"F","1","0",4.21,1360,"Math & Science","1","1",3.123,1,0.896933560477002,"1","0",0.123106060606061
158,6,6,"M","1","0",4.25,1350,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
160,7,7,"F","1","0",4.04,1450,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
163,5,6,"F","0","1",3.85,1120,"Math & Science","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
164,7,7,"M","1","0",3.95,1430,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
166,7,7,"F","1","0",3.59,950,"Arts & Letters","1","1",2.255,1,0.855172413793103,"1","1",1
168,6,6,"M","1","0",4.23,1400,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
171,6,6,"F","1","0",3.4,1000,"Business & Economics","1","1",2.919,1,0.855172413793103,"1","1",1
172,7,6,"F","1","0",4.27,1140,"Arts & Letters","1","1",3.386,1,0.854901960784314,"1","1",1
176,3,7,"M","0","0",3.71,1360,"Math & Science","1","0",NA,1,0.769230769230769,"0","0",0.173497267759563
177,7,7,"F","1","0",4.11,1300,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
178,6,6,"M","0","1",4,1250,"Arts & Letters","1","1",3.296,1,0.854901960784314,"1","1",1
179,3,3,"F","0","0",3.61,1050,"Business & Economics","1","1",2.88,1,0.855172413793103,"1","1",1
184,7,7,"M","1","0",4.08,1280,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
187,4,6,"M","1","0",3.5,1530,"Arts & Letters","1","0",NA,0,0.156017830609212,"0","0",0.00160901045856798
188,7,6,"M","0","0",3.95,1400,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
189,6,6,"M","1","0",3.67,1190,"Arts & Letters","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
190,6,6,"F","0","0",4.09,1190,"Arts & Letters","1","0",NA,1,0.695652173913043,"0","0",0.00160901045856798
191,2,1,"F","0","0",3.44,960,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
193,7,7,"M","1","0",3.9,1240,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
194,7,7,"F","1","0",4,1390,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
197,7,7,"F","1","0",4.12,1290,"Arts & Letters","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
206,7,7,"M","1","0",4.27,1550,"Math & Science","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
208,6,5,"M","1","0",3.64,1350,"Business & Economics","1","0",NA,0,0.26978417266187,"0","0",0.00160901045856798
217,4,3,"M","0","0",4.33,1320,"Math & Science","1","1",3.935,1,0.73936170212766,"1","0",0.173497267759563
221,6,7,"M","1","0",3.73,1040,"Business & Economics","1","0",NA,0,0.05676072418855,"0","0",0.00160901045856798
222,6,6,"M","1","0",3.74,1260,"Business & Economics","1","1",2.81,1,0.855172413793103,"1","1",1
224,5,3,"M","0","0",4.25,1310,"Math & Science","1","1",2.498,1,0.73936170212766,"1","0",0.173497267759563
225,3,7,"M","0","0",3.58,1300,"Arts & Letters","1","0",NA,0,0.26978417266187,"0","0",0.00160901045856798
226,7,6,"F","1","0",3.45,1440,"Business & Economics","1","0",NA,0,0.156017830609212,"0","0",0.00160901045856798
228,7,4,"F","1","0",4.3,1500,"Arts & Letters","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
233,7,7,"M","1","0",4.04,1140,"Business & Economics","1","1",2.932,1,0.854901960784314,"1","1",1
235,6,4,"F","1","0",4,1320,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
237,6,6,"F","1","0",3.95,1230,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
238,7,6,"F","1","0",3.8,1210,"Arts & Letters","1","1",3.128,1,0.854901960784314,"1","1",1
239,4,6,"F","1","0",4.2,1140,"Business & Economics","1","1",3.641,1,0.854901960784314,"1","1",1
240,4,4,"F","1","0",3.95,1340,"Arts & Letters","1","1",3.58,1,0.73936170212766,"1","0",0.173497267759563
243,6,4,"F","0","0",4,1170,"Arts & Letters","1","0",NA,0,0.245187436676798,"0","0",0.00160901045856798
245,6,6,"F","1","0",3.72,1210,"Math & Science","1","1",2.287,1,0.855172413793103,"1","1",1
247,6,6,"F","0","0",4.04,1310,"Math & Science","1","0",NA,1,0.73936170212766,"0","0",0.173497267759563
248,6,6,"F","1","0",3.91,1480,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
249,6,6,"F","1","0",4.1,1450,"Business & Economics","1","0",NA,1,0.896933560477002,"0","0",0.123106060606061
250,7,4,"F","0","0",3.58,1200,"Arts & Letters","1","1",3.08,1,0.855172413793103,"1","1",1
252,6,6,"M","0","1",3.45,1320,"Math & Science","1","1",2.27,1,0.855172413793103,"1","1",1
258,7,6,"F","1","0",4.17,1360,"Business & Economics","1","1",2.986,1,0.896933560477002,"1","0",0.123106060606061
259,6,6,"F","1","0",3.64,1420,"Math & Science","1","0",NA,0,0.384615384615385,"0","0",0.00160901045856798
